เขต,มาใช้สิทธิ (เขต),บัตรเสีย (เขต %),ไม่ประสงค์ (เขต %),มาใช้สิทธิ (บัญชี),บัตรเสีย (บัญชี %),ไม่ประสงค์ (บัญชี %),ABS Diff (คน)
CBI_1,98894,2.15,4.38,98442,2.96,2.89,452
CBI_10,84108,2.26,5.31,79374,3.26,4.91,4734
CBI_2,78872,2.25,3.98,78872,2.73,3.1,0
CBI_3,92645,3.37,5.02,92645,3.44,3.25,0
CBI_4,83770,4.46,4.65,83726,5.67,3.31,44
CBI_5,97667,3.55,4.64,94743,5.03,3.6,2924
CBI_6,88248,2.34,4.93,88747,3.23,2.96,499
CBI_7,84276,2.36,4.42,84052,2.6,2.8,224
CBI_8,86649,3.28,4.39,86455,3.58,2.94,194
CBI_9,62578,4.6,5.16,62757,2.98,3.05,179
