เขตเลือกตั้ง,บัตรดี (ส.ส.เขต),บัตรเสีย (ส.ส.เขต),ไม่ประสงค์ลงคะแนน (เขต),บัตรดี (บัญชีรายชื่อ),บัตรเสีย (บัญชีรายชื่อ),ไม่ประสงค์ลงคะแนน (บัญชีรายชื่อ)
CBI_1,92439,2127,4328,92687,2910,2845
CBI_2,73956,1776,3140,74280,2150,2442
CBI_3,84876,3120,4649,86453,3183,3009
CBI_4,76139,3736,3895,76211,4745,2770
CBI_5,89663,3471,4533,86568,4768,3407
CBI_6,81831,2068,4349,83249,2867,2631
CBI_7,78561,1993,3722,79513,2185,2354
CBI_8,79998,2844,3807,80819,3093,2543
CBI_9,56469,2878,3231,58973,1872,1912
CBI_10,77743,1900,4465,72890,2585,3899
