จังหวัด,ผู้มาใช้สิทธิ (เขต),บัตรเสีย (เขต),ไม่ประสงค์ลงคะแนน (เขต),ผู้มาใช้สิทธิ (บัญชีรายชื่อ),บัตรเสีย (บัญชีรายชื่อ),ไม่ประสงค์ลงคะแนน (บัญชีรายชื่อ),ผลต่างแบบเขต-บัญชีรายชื่อ)
พัทลุง,329838,7185,9270,314194,9922,4966,15644
ร้อยเอ็ด,617341,20192,12298,631925,25587,10932,14584
ศรีสะเกษ,692929,24949,13656,681608,36066,12024,11321
แพร่,244786,11231,8791,234407,11209,6364,10379
สกลนคร,546739,19804,17715,555694,24220,15236,8955
น่าน,262208,12335,14124,253293,12696,10328,8915
นครราชสีมา,1365554,55055,59253,1374000,72778,47831,8446
ชลบุรี,857707,25913,40119,849813,30358,27812,7894
ยโสธร,275121,7835,4702,267922,10915,4397,7199
ตรัง,363165,8288,16723,369314,10627,9619,6149
นราธิวาส,413836,13338,10062,407971,24528,7109,5865
บุรีรัมย์,729170,30284,23687,723486,36768,13882,5684
ขอนแก่น,948928,35599,29068,943723,46319,19904,5205
เพชรบูรณ์,493539,20616,16430,488345,31066,15207,5194
สตูล,173036,5312,9344,167920,6611,5455,5116
ชุมพร,292886,7328,12049,288001,9507,6480,4885
ระยอง,380131,14270,20550,375382,12945,13293,4749
หนองบัวลำภู,245958,7332,5712,250648,12246,4808,4690
สุพรรณบุรี,471942,17941,17832,467434,26278,15250,4508
ปัตตานี,354370,12105,8873,358666,18756,6645,4296
ลพบุรี,417742,15458,14986,413541,24996,14133,4201
อุบลราชธานี,923619,36755,31182,927701,45674,24166,4082
กระบี่,260955,7783,12177,256947,9122,6093,4008
ยะลา,271680,11779,12390,268043,13843,7579,3637
สงขลา,834590,23439,41092,837989,27865,20373,3399
กรุงเทพมหานคร,2921346,48559,155356,2917995,53965,79331,3351
บึงกาฬ,209738,7970,4537,212500,9416,4022,2762
สุรินทร์,635754,23700,16486,633002,31830,12596,2752
อ่างทอง,162487,5730,6015,159787,9166,5339,2700
อุดรธานี,719092,28443,22110,716585,35006,15943,2507
ราชบุรี,509867,19074,23675,512366,28222,23074,2499
พระนครศรีอยุธยา,498076,17095,19178,495773,23333,17556,2303
เชียงใหม่,949962,43911,48125,952061,45158,34958,2099
ลำพูน,241311,12026,14732,239320,12699,10658,1991
สุราษฎร์ธานี,611985,13355,19578,610084,18486,11855,1901
สมุทรปราการ,750303,21038,40631,752183,21431,25705,1880
นครสวรรค์,518770,22990,17522,520501,34515,15299,1731
ชัยภูมิ,465570,18080,9644,467281,28443,10177,1711
สระบุรี,350189,14215,18088,351577,19212,15668,1388
กาฬสินธุ์,483705,14311,12275,482506,25506,10113,1199
พิจิตร,270404,12273,9351,269238,18173,7594,1166
มหาสารคาม,475882,13646,12015,476939,21115,8950,1057
กำแพงเพชร,349276,16931,11870,350124,25497,10940,848
นนทบุรี,730832,17102,45456,730093,16247,24901,739
นครศรีธรรมราช,834185,23621,39783,834919,28352,18269,734
ฉะเชิงเทรา,435231,18496,23281,434541,22896,16483,690
สมุทรสงคราม,107475,4271,6509,106789,4762,4988,686
สมุทรสาคร,314303,10562,15275,313651,11576,11014,652
มุกดาหาร,185043,6511,4471,184464,9604,4180,579
นครนายก,155019,5406,6051,155587,8967,5766,568
ประจวบคีรีขันธ์,298896,8129,8298,299447,15589,8144,551
เลย,323275,20241,15450,322732,19061,11047,543
เพชรบุรี,285833,11597,13961,285321,15342,11679,512
กาญจนบุรี,455223,18584,17355,454712,28006,16560,511
อำนาจเจริญ,183470,8104,6789,183006,8515,4504,464
พิษณุโลก,448686,18588,20484,449081,24955,17099,395
นครพนม,358381,11187,8801,358038,16136,6614,343
พะเยา,261800,10712,8940,261481,12325,5479,319
อุทัยธานี,153174,6175,6926,152857,7721,4810,317
ปทุมธานี,705103,18204,35514,705411,19402,21923,308
ภูเก็ต,212590,6659,13803,212867,5884,7608,277
หนองคาย,244970,11760,6349,245229,13157,5212,259
แม่ฮ่องสอน,134769,8680,4686,134978,7281,3538,209
นครปฐม,560830,17117,25916,561033,23986,22073,203
ชัยนาท,175623,9888,12525,175454,11963,7944,169
ปราจีนบุรี,277900,11188,16016,277736,14192,12042,164
ตราด,112944,4161,4345,113099,5726,3786,155
เชียงราย,638496,36047,30754,638650,32738,22261,154
สุโขทัย,302562,14091,14583,302421,19657,10399,141
อุตรดิตถ์,225733,10998,10708,225604,12779,8511,129
สระแก้ว,275813,12021,11063,275689,16162,8957,124
ตาก,264971,19333,24228,265077,17711,10200,106
ลำปาง,419729,22235,24585,419631,22570,16865,98
สิงห์บุรี,120463,5170,6807,120546,6676,5248,83
ระนอง,91488,4533,7386,91420,3532,2939,68
พังงา,150529,5518,9378,150574,5718,5070,45
จันทบุรี,295755,11685,16873,295715,14938,14828,40
