จังหวัด,มาใช้สิทธิ (ส.ส.เขต),มาใช้สิทธิ (บัญชีรายชื่อ),ผลต่าง (คน),ผลต่างสัมบูรณ์ (คน)
พัทลุง,329838,314194,15644,15644
ร้อยเอ็ด,617341,631925,-14584,14584
ศรีสะเกษ,692929,681608,11321,11321
แพร่,244786,234407,10379,10379
สกลนคร,546739,555694,-8955,8955
น่าน,262208,253293,8915,8915
นครราชสีมา,1365554,1374000,-8446,8446
ชลบุรี,857707,849813,7894,7894
ยโสธร,275121,267922,7199,7199
ตรัง,363165,369314,-6149,6149
นราธิวาส,413836,407971,5865,5865
บุรีรัมย์,729170,723486,5684,5684
ขอนแก่น,948928,943723,5205,5205
เพชรบูรณ์,493539,488345,5194,5194
สตูล,173036,167920,5116,5116
ชุมพร,292886,288001,4885,4885
ระยอง,380131,375382,4749,4749
หนองบัวลำภู,245958,250648,-4690,4690
สุพรรณบุรี,471942,467434,4508,4508
ปัตตานี,354370,358666,-4296,4296
ลพบุรี,417742,413541,4201,4201
อุบลราชธานี,923619,927701,-4082,4082
กระบี่,260955,256947,4008,4008
ยะลา,271680,268043,3637,3637
สงขลา,834590,837989,-3399,3399
กรุงเทพมหานคร,2921346,2917995,3351,3351
บึงกาฬ,209738,212500,-2762,2762
สุรินทร์,635754,633002,2752,2752
อ่างทอง,162487,159787,2700,2700
อุดรธานี,719092,716585,2507,2507
ราชบุรี,509867,512366,-2499,2499
พระนครศรีอยุธยา,498076,495773,2303,2303
เชียงใหม่,949962,952061,-2099,2099
ลำพูน,241311,239320,1991,1991
สุราษฎร์ธานี,611985,610084,1901,1901
สมุทรปราการ,750303,752183,-1880,1880
นครสวรรค์,518770,520501,-1731,1731
ชัยภูมิ,465570,467281,-1711,1711
สระบุรี,350189,351577,-1388,1388
กาฬสินธุ์,483705,482506,1199,1199
พิจิตร,270404,269238,1166,1166
มหาสารคาม,475882,476939,-1057,1057
กำแพงเพชร,349276,350124,-848,848
นนทบุรี,730832,730093,739,739
นครศรีธรรมราช,834185,834919,-734,734
ฉะเชิงเทรา,435231,434541,690,690
สมุทรสงคราม,107475,106789,686,686
สมุทรสาคร,314303,313651,652,652
มุกดาหาร,185043,184464,579,579
นครนายก,155019,155587,-568,568
ประจวบคีรีขันธ์,298896,299447,-551,551
เลย,323275,322732,543,543
เพชรบุรี,285833,285321,512,512
กาญจนบุรี,455223,454712,511,511
อำนาจเจริญ,183470,183006,464,464
พิษณุโลก,448686,449081,-395,395
นครพนม,358381,358038,343,343
พะเยา,261800,261481,319,319
อุทัยธานี,153174,152857,317,317
ปทุมธานี,705103,705411,-308,308
ภูเก็ต,212590,212867,-277,277
หนองคาย,244970,245229,-259,259
แม่ฮ่องสอน,134769,134978,-209,209
นครปฐม,560830,561033,-203,203
ชัยนาท,175623,175454,169,169
ปราจีนบุรี,277900,277736,164,164
ตราด,112944,113099,-155,155
เชียงราย,638496,638650,-154,154
สุโขทัย,302562,302421,141,141
อุตรดิตถ์,225733,225604,129,129
สระแก้ว,275813,275689,124,124
ตาก,264971,265077,-106,106
ลำปาง,419729,419631,98,98
สิงห์บุรี,120463,120546,-83,83
ระนอง,91488,91420,68,68
พังงา,150529,150574,-45,45
จันทบุรี,295755,295715,40,40
