จังหวัด,มาใช้สิทธิ (เขต),บัตรเสีย (เขต),บัตรเสีย (เขต %),ไม่ประสงค์ (เขต),ไม่ประสงค์ (เขต %),มาใช้สิทธิ (บัญชี),บัตรเสีย (บัญชี),บัตรเสีย (บัญชี %),ไม่ประสงค์ (บัญชี),ไม่ประสงค์ (บัญชี %),Diff เขต vs บัญชี
พัทลุง,329838,7185,2.18,9270,2.81,314194,9922,3.16,4966,1.58,15644
ร้อยเอ็ด,617341,20192,3.27,12298,1.99,631925,25587,4.05,10932,1.73,14584
ศรีสะเกษ,692929,24949,3.6,13656,1.97,681608,36066,5.29,12024,1.76,11321
แพร่,244786,11231,4.59,8791,3.59,234407,11209,4.78,6364,2.71,10379
สกลนคร,546739,19804,3.62,17715,3.24,555694,24220,4.36,15236,2.74,8955
น่าน,262208,12335,4.7,14124,5.39,253293,12696,5.01,10328,4.08,8915
นครราชสีมา,1365554,55055,4.03,59253,4.34,1374000,72778,5.3,47831,3.48,8446
ชลบุรี,857707,25913,3.02,40119,4.68,849813,30358,3.57,27812,3.27,7894
ยโสธร,275121,7835,2.85,4702,1.71,267922,10915,4.07,4397,1.64,7199
ตรัง,363165,8288,2.28,16723,4.6,369314,10627,2.88,9619,2.6,6149
นราธิวาส,413836,13338,3.22,10062,2.43,407971,24528,6.01,7109,1.74,5865
บุรีรัมย์,729170,30284,4.15,23687,3.25,723486,36768,5.08,13882,1.92,5684
ขอนแก่น,948928,35599,3.75,29068,3.06,943723,46319,4.91,19904,2.11,5205
เพชรบูรณ์,493539,20616,4.18,16430,3.33,488345,31066,6.36,15207,3.11,5194
สตูล,173036,5312,3.07,9344,5.4,167920,6611,3.94,5455,3.25,5116
ชุมพร,292886,7328,2.5,12049,4.11,288001,9507,3.3,6480,2.25,4885
ระยอง,380131,14270,3.75,20550,5.41,375382,12945,3.45,13293,3.54,4749
หนองบัวลำภู,245958,7332,2.98,5712,2.32,250648,12246,4.89,4808,1.92,4690
สุพรรณบุรี,471942,17941,3.8,17832,3.78,467434,26278,5.62,15250,3.26,4508
ปัตตานี,354370,12105,3.42,8873,2.5,358666,18756,5.23,6645,1.85,4296
ลพบุรี,417742,15458,3.7,14986,3.59,413541,24996,6.04,14133,3.42,4201
อุบลราชธานี,923619,36755,3.98,31182,3.38,927701,45674,4.92,24166,2.6,4082
กระบี่,260955,7783,2.98,12177,4.67,256947,9122,3.55,6093,2.37,4008
ยะลา,271680,11779,4.34,12390,4.56,268043,13843,5.16,7579,2.83,3637
สงขลา,834590,23439,2.81,41092,4.92,837989,27865,3.33,20373,2.43,3399
กรุงเทพมหานคร,2921346,48559,1.66,155356,5.32,2917995,53965,1.85,79331,2.72,3351
บึงกาฬ,209738,7970,3.8,4537,2.16,212500,9416,4.43,4022,1.89,2762
สุรินทร์,635754,23700,3.73,16486,2.59,633002,31830,5.03,12596,1.99,2752
อ่างทอง,162487,5730,3.53,6015,3.7,159787,9166,5.74,5339,3.34,2700
อุดรธานี,719092,28443,3.96,22110,3.07,716585,35006,4.89,15943,2.22,2507
ราชบุรี,509867,19074,3.74,23675,4.64,512366,28222,5.51,23074,4.5,2499
พระนครศรีอยุธยา,498076,17095,3.43,19178,3.85,495773,23333,4.71,17556,3.54,2303
เชียงใหม่,949962,43911,4.62,48125,5.07,952061,45158,4.74,34958,3.67,2099
ลำพูน,241311,12026,4.98,14732,6.1,239320,12699,5.31,10658,4.45,1991
สุราษฎร์ธานี,611985,13355,2.18,19578,3.2,610084,18486,3.03,11855,1.94,1901
สมุทรปราการ,750303,21038,2.8,40631,5.42,752183,21431,2.85,25705,3.42,1880
นครสวรรค์,518770,22990,4.43,17522,3.38,520501,34515,6.63,15299,2.94,1731
ชัยภูมิ,465570,18080,3.88,9644,2.07,467281,28443,6.09,10177,2.18,1711
สระบุรี,350189,14215,4.06,18088,5.17,351577,19212,5.46,15668,4.46,1388
กาฬสินธุ์,483705,14311,2.96,12275,2.54,482506,25506,5.29,10113,2.1,1199
พิจิตร,270404,12273,4.54,9351,3.46,269238,18173,6.75,7594,2.82,1166
มหาสารคาม,475882,13646,2.87,12015,2.52,476939,21115,4.43,8950,1.88,1057
กำแพงเพชร,349276,16931,4.85,11870,3.4,350124,25497,7.28,10940,3.12,848
นนทบุรี,730832,17102,2.34,45456,6.22,730093,16247,2.23,24901,3.41,739
นครศรีธรรมราช,834185,23621,2.83,39783,4.77,834919,28352,3.4,18269,2.19,734
ฉะเชิงเทรา,435231,18496,4.25,23281,5.35,434541,22896,5.27,16483,3.79,690
สมุทรสงคราม,107475,4271,3.97,6509,6.06,106789,4762,4.46,4988,4.67,686
สมุทรสาคร,314303,10562,3.36,15275,4.86,313651,11576,3.69,11014,3.51,652
มุกดาหาร,185043,6511,3.52,4471,2.42,184464,9604,5.21,4180,2.27,579
นครนายก,155019,5406,3.49,6051,3.9,155587,8967,5.76,5766,3.71,568
ประจวบคีรีขันธ์,298896,8129,2.72,8298,2.78,299447,15589,5.21,8144,2.72,551
เลย,323275,20241,6.26,15450,4.78,322732,19061,5.91,11047,3.42,543
เพชรบุรี,285833,11597,4.06,13961,4.88,285321,15342,5.38,11679,4.09,512
กาญจนบุรี,455223,18584,4.08,17355,3.81,454712,28006,6.16,16560,3.64,511
อำนาจเจริญ,183470,8104,4.42,6789,3.7,183006,8515,4.65,4504,2.46,464
พิษณุโลก,448686,18588,4.14,20484,4.57,449081,24955,5.56,17099,3.81,395
นครพนม,358381,11187,3.12,8801,2.46,358038,16136,4.51,6614,1.85,343
พะเยา,261800,10712,4.09,8940,3.41,261481,12325,4.71,5479,2.1,319
อุทัยธานี,153174,6175,4.03,6926,4.52,152857,7721,5.05,4810,3.15,317
ปทุมธานี,705103,18204,2.58,35514,5.04,705411,19402,2.75,21923,3.11,308
ภูเก็ต,212590,6659,3.13,13803,6.49,212867,5884,2.76,7608,3.57,277
หนองคาย,244970,11760,4.8,6349,2.59,245229,13157,5.37,5212,2.13,259
แม่ฮ่องสอน,134769,8680,6.44,4686,3.48,134978,7281,5.39,3538,2.62,209
นครปฐม,560830,17117,3.05,25916,4.62,561033,23986,4.28,22073,3.93,203
ชัยนาท,175623,9888,5.63,12525,7.13,175454,11963,6.82,7944,4.53,169
ปราจีนบุรี,277900,11188,4.03,16016,5.76,277736,14192,5.11,12042,4.34,164
ตราด,112944,4161,3.68,4345,3.85,113099,5726,5.06,3786,3.35,155
เชียงราย,638496,36047,5.65,30754,4.82,638650,32738,5.13,22261,3.49,154
สุโขทัย,302562,14091,4.66,14583,4.82,302421,19657,6.5,10399,3.44,141
อุตรดิตถ์,225733,10998,4.87,10708,4.74,225604,12779,5.66,8511,3.77,129
สระแก้ว,275813,12021,4.36,11063,4.01,275689,16162,5.86,8957,3.25,124
ตาก,264971,19333,7.3,24228,9.14,265077,17711,6.68,10200,3.85,106
ลำปาง,419729,22235,5.3,24585,5.86,419631,22570,5.38,16865,4.02,98
สิงห์บุรี,120463,5170,4.29,6807,5.65,120546,6676,5.54,5248,4.35,83
ระนอง,91488,4533,4.95,7386,8.07,91420,3532,3.86,2939,3.21,68
พังงา,150529,5518,3.67,9378,6.23,150574,5718,3.8,5070,3.37,45
จันทบุรี,295755,11685,3.95,16873,5.71,295715,14938,5.05,14828,5.01,40
